261,102,1
149,380,0
115,286,0
80,239,0
79,1,1
242,396,0
310,114,1
89,200,0
116,62,1
106,145,1
365,363,1
54,230,0
0,88,0
175,126,1
281,324,1
151,205,1
330,309,1
153,271,0
344,50,1
333,190,1
88,175,0
157,50,1
94,383,0
128,325,0
312,155,1
372,159,1
394,247,1
27,121,0
53,390,0
52,284,0
238,208,1
33,60,0
151,3,1
329,309,1
382,206,1
187,169,1
94,226,0
296,156,1
30,43,1
298,328,1
181,92,1
228,44,1
169,52,1
389,144,1
317,337,1
205,368,0
28,396,0
341,351,1
110,104,1
147,261,0
110,281,0
352,105,1
152,176,1
193,148,1
65,287,0
264,301,1
399,152,1
0,312,0
94,389,0
333,328,1
129,76,1
383,63,1
121,148,1
201,104,1
190,331,0
90,246,0
52,282,0
151,338,0
176,10,1
153,88,1
71,27,1
162,169,1
74,240,0
2,181,0
181,68,1
185,350,0
117,193,0
124,244,0
221,123,1
240,141,1
344,43,1
240,388,0
395,384,1
53,200,0
354,208,1
45,93,0
111,349,0
13,349,0
133,240,0
112,334,0
308,107,1
254,108,1
22,125,0
158,135,1
25,362,0
284,205,1
296,65,1
244,24,1
109,245,0
382,263,1
10,275,0
214,144,1
393,71,1
349,319,1
371,326,1
162,285,0
64,209,0
0,161,0
353,286,1
83,63,1
24,249,0
78,266,0
130,8,1
379,287,1
246,25,1
278,13,1
354,287,1
7,261,0
319,328,1
394,242,1
47,389,0
92,259,0
144,154,1
304,366,1
291,3,1
9,268,0
79,116,1
285,39,1
91,305,0
178,160,1
247,296,1
62,227,0
157,113,1
395,153,1
393,171,1
363,100,1
37,219,0
88,16,1
273,211,1
294,392,1
24,359,0
321,262,1
341,154,1
368,170,1
376,335,1
127,394,0
251,194,1
294,70,1
131,46,1
342,37,1
308,56,1
90,168,0
49,235,0
375,287,1
179,41,1
127,197,0
141,177,1
5,286,0
174,163,1
66,154,0
276,92,1
80,337,0
210,248,1
296,283,1
211,290,1
357,378,1
129,149,1
389,234,1
220,44,1
266,76,1
310,200,1
141,196,1
393,152,1
360,27,1
323,86,1
352,157,1
96,53,1
297,229,1
193,261,1
231,126,1
325,131,1
110,304,0
329,177,1
104,94,1
317,169,1
169,95,1
134,230,0
272,124,1
397,19,1
191,42,1
377,326,1
183,47,1
32,266,0
273,4,1
386,397,1
309,52,1
164,60,1
202,66,1
190,54,1
226,79,1
